                                          name                                           |    weight     |         measure         | kcal | kind 
 Massa de pastel frita                                                                   | 70 g          | 1 unidade               |  412 | c
 McChicken - Mc Donalds                                                                  | 0 g           | 1 unidade               |  454 | c
 McColosso Caramelo - Mc Donalds                                                         | 0 g           | 1 unidade               |  283 | c
 McColosso Chocolate - Mc Donalds                                                        | 0 g           | 1 unidade               |  283 | c
 McFish - Mc Donalds                                                                     | 0 g           | 1 unidade               |  373 | c
 McFlurry M&amp;M com cobertura de morango - Mc Donalds                                  | 0 g           | 1 unidade               |  445 | c
 McNífico Bacon - Mc Donalds                                                             | 0 g           | 1 unidade               |  625 | c
 McNuggets - Mc Donalds                                                                  | 0 g           | 2 unidades              |   78 | c
 Mc Shake Chocolate (300ml) - Mc Donalds                                                 | 300 ml        | 1 unidade               |  251 | c
 Mc Shake Chocolate (500ml) - Mc Donalds                                                 | 500 ml        | 1 unidade               |  413 | c
 Mc Shake Morango (300ml) - Mc Donalds                                                   | 300 ml        | 1 unidade               |  219 | c
 Mc Shake Morango (500ml) - Mc Donalds                                                   | 500 ml        | 1 unidade               |  410 | c
 Medalhão de lombo com bacon (assado/grelhado)                                           | 250g          | 1 porção                |  525 | c
 Mil folhas                                                                              | 100 g         | 1 pedaço                |  117 | c
 Milk shake crocante de Ovomaltine                                                       | 300 ml        | 1 unidade               |  361 | c
 Milk Sheik - McDonalds                                                                  | 333 g         | 1 copo médio            |  423 | c
 Mingau de cremogema(com açúcar e leite integral)                                        | 280 g         | 1 prato                 |  272 | c
 Mini Bombom Serenata de Amor                                                            | 14 g          | 1 unidade               |   74 | c
 mini chicabon - KIBON                                                                   | 60 g          | 9 bombons               |  231 | c
 Mini goiabinha com polpa de fruta - PARATI                                              | 25 g          | 1 pacotinho             |   89 | c
 Mini Kalzone brócolis                                                                   | 180 g         | 1 unidade               |  378 | c
 Mini Kibe Coalhada Seca - Habibs                                                        | 49 g          | 1 unidade               |  102 | c
 Mini Kibe Homus - Habibs                                                                | 49 g          | 1 unidade               |  100 | c
 Mini Kibe Queijo Cremily - Habibs                                                       | 49 g          | 1 unidade               |  107 | c
 Missô                                                                                   | 18 g          | 1 colher de sopa        |   37 | c
 Misto Frio                                                                              | 85 g          | 1 unidade               |  209 | c
 Misto Quente                                                                            | 85 g          | 1 unidade               |  245 | c
 M&M's                                                                                   | 45 g          | 1 embalagem             |  228 | c
 Molho branco - Fungini                                                                  | 20 g          | 1 colher de sopa        |   13 | c
 Molho Caipira - Mc Donalds                                                              | 0 g           | 1 porção                |   50 | c
 Molho inglês                                                                            | 15            | 1 colher de sopa        |    5 | c
 Molho Shoyu Tradicional                                                                 | 15 g          | 1 colher de sopa        |   11 | c
 Moqueca de peixe                                                                        | 100 g         | 1 concha                |  325 | c
 mortadela bolonha                                                                       | 30 g          | 1 porção                |   96 | c
 Mortadela de frango light - Seara                                                       | 40 g          | 2 fatias                |   72 | c
 Mousse de gelatina                                                                      | 180 g         | 1 taça                  |   90 | c
 Mousse de morango                                                                       | 150 g         | 1 taça                  |  414 | c
 Mr Pretzels                                                                             | 100 g         | 1 unidade               |  346 | c
 Natas                                                                                   | 100 g         | 1 pires                 |  337 | c
 Nestlé Gold chocolate                                                                   | 30g           | 1 xícara                |  112 | c
 Nhoque frito com molho alfredo                                                          | 40 g          | 1 colher grande         |  200 | c
 Nuggets de frango assado                                                                | 26 g          | 1 unidade               |   63 | c
 Nuggets de legumes                                                                      | 10 g          | 6 unidades              |  150 | c
 NUTELLA Creme de Avelã                                                                  | 30 g          | 1 colher de sopa        |  160 | c
 Omelete com presunto e queijo                                                           | 100 g         | 1 prato                 |  325 | c
 Ovo de galinha frito                                                                    | 50 g          | 1 unidade               |  148 | c
 Paella                                                                                  | 27 g          | 1 colher de sopa        |  114 | c
 Paio                                                                                    | 100g          | 1 porção                |  314 | c
 Palha Italiana                                                                          | 70 g          | 1 unidade               |  200 | c
 Palitinhos - Elma Chips                                                                 | 25 g          | 28 unidades             |   98 | c
 Palito salgado de queijo Ellen                                                          | 100 g         | 1 porção                |  210 | c
 Panetone Visconti                                                                       | 80 g          | 1 fatia                 |  270 | c
 panettone com gotas de chocolate - FESTTONE                                             | 80 g          | 2 e 1/2 fatias em média |  288 | c
 Panini açúcar e canela - CASA DO PÃO DE QUEIJO                                          | 60 g          | 1 unidade               |  253 | c
 Panini manteiga - CASA DO PÃO DE QUEIJO                                                 | 60 g          | 1 unidade               |  227 | c
 Panini mussarela com orégano e pasta de tomate seco - CASA DO PÃO DE QUEIJO             | 60 g          | 1 unidade               |  198 | c
 Panini Polenguinho - CASA DO PÃO DE QUEIJO                                              | 60 g          | 1 unidade               |  210 | c
 Panini presunto e queijo - CASA DO PÃO DE QUEIJO                                        | 60 g          | 1 unidade               |  197 | c
 Panini provolone com orégano - CASA DO PÃO DE QUEIJO                                    | 60 g          | 1 unidade               |  189 | c
 Panini queijo branco - CASA DO PÃO DE QUEIJO                                            | 60 g          | 1 unidade               |  192 | c
 Panini salame - CASA DO PÃO DE QUEIJO                                                   | 60 g          | 1 unidade               |  221 | c
 panino al latte com crema al cioccolato                                                 | 50g           | 1 unidade               |  200 | c
 Pão com Linguiça                                                                        | 50 g          | 1 unidade               |  310 | c
 Pão de Batata - Calabresa com Requeijão                                                 | 100 g         | 1 unidade               |  348 | c
 Pão de Batata - Presunto e Queijo                                                       | 100 g         | 1 unidade               |  348 | c
 Pão de queijo com recheio de cheddar- CASA DO PÃO DE QUEIJO                             | 60 g          | 1 unidade               |  211 | c
 Pão de queijo com recheio de doce de leite - CASA DO PÃO DE QUEIJO                      | 60 g          | 1 unidade               |  194 | c
 Pão de queijo com recheio de polenguinho - CASA                                         | 60 g          | 1 unidade               |  194 | c
 Pão de queijo com recheio de requeijão - CASA DO PÃO DE QUEIJO                          | 50 g          | 1 unidade               |  191 | c
 Pão de queijo com recheio de requeijão com azeitona - CASA DO PÃO DE QUEIJO             | 60 g          | 1 unidade               |  179 | c
 Pão de queijo com recheio de requeijão light - CASA DO PÃO DE QUEIJO                    | 60 g          | 1 unidade               |  179 | c
 Pão de Queijo congelado - TAEQ                                                          | 50 g          | 3 unidades              |  115 | c
 Pão de queijo mini - CASA DO PÃO DE QUEIJO                                              | 20 g          | 3 unidades              |  132 | c
 Pão folhado com recheio de banana - CASA DO PÃO DE QUEIJO                               | 110 g         | 1 unidade               |  157 | c
 Pão folhado com recheio de calabresa - CASA DO PÃO DE QUEIJO                            | 110 g         | 1 unidade               |  346 | c
 Pão folhado com recheio de frango com catupiry - CASA DO PÃO DE QUEIJO                  | 110 g         | 1 unidade               |  310 | c
 Pão folhado com recheio de maçã - CASA DO PÃO DE QUEIJO                                 | 110 g         | 1 unidade               |  162 | c
 Pão folhado com recheio de palmito - CASA DO PÃO DE QUEIJOS                             | 110 g         | 1 unidade               |  311 | c
 Pão folhado com recheio de peru e queijo - CASA DO PÃO DE QUEIJO                        | 110 g         | 1 unidade               |  313 | c
 Pão folhado com recheio de presunto e queijo - CASA DO PÃO DE QUEIJO                    | 110 g         | 1 unidade               |  311 | c
 Pão folhado doce de leite - CASA DO PÃO DE QUEIJO                                       | 110 g         | 1 unidade               |  193 | c
 Pasta ao Molho de Tomate e Bacon - Maggi                                                | 180 g         | 1 unidade               |  648 | c
 Pasta sabor iogurte com frango e ervas Good Light - Maggi                               | 90 g          | 1 xícara                |  320 | c
 Pastel de Belém - Habibs                                                                | 100 g         | 1 unidade               |  150 | c
 Pastel de carne                                                                         | 100 g         | 1 unidade               |  330 | c
 Pastel de carne assado                                                                  | 25 g          | 1 unidade               |  116 | c
 Pastel de Carne - Habibs                                                                | 70 g          | 1 unidade               |  230 | c
 Pastel de forno - Carne                                                                 | 100 g         | 1 unidade               |  310 | c
 Pastel de forno - Dois Queijos                                                          | 100 g         | 1 unidade               |  381 | c
 Pastel de forno - Frango com Requeijão                                                  | 100 g         | 1 unidade               |  320 | c
 Pastel de forno - Palmito                                                               | 100 g         | 1 unidade               |  279 | c
 Pastel de pizza                                                                         | 100 g         | 1 unidade               |  276 | c
 Pastel de queijo                                                                        | 100 g         | 1 unidade               |  291 | c
 Pastel de Queijo - Habibs                                                               | 40 g          | 1 unidade               |  225 | c
 Pastel especial                                                                         | 300 g         | 1 unidade               |  800 | c
 Pastel frito de palmito com catupiry                                                    | 100 g         | 1 unidade               |  340 | c
 Pastilhas de chocolate ao leite Mini Cop Light - Kopenhagen                             | 25 g          | 6 unidades              |  108 | c
 Patê Chinois                                                                            | 100 g         | 1 porção                |  325 | c
 pate de peito de peru defumado sadia                                                    | 10 g          | 1 colher de cha         |   22 | c
 Patê de presunto                                                                        | 10 g          | 1 colher de chá         |   17 | c
 Pavê                                                                                    | 20 g          | 1 colher de sopa        |  260 | c
 Pavê de amendoim                                                                        | 110 g         | 1 pedaço                |  357 | c
 Peito de frango com pele cozido / assado / grelhado                                     | 120 g         | 1 filé                  |  254 | c
 Peito de frango crocante KFC                                                            | 80g           | 1 unidade               |  353 | c
 Peito de Peru Defumado Sadia Speciale                                                   | 100 g         | 1 unidade               |  115 | c
 Peixe Empanado - China in box                                                           | 100 g         | 1 prato de sobremesa    |  252 | c
 Penne ao molho tomate                                                                   | 50g           | 1                       |  100 | c
 Pernil suíno cozido / assado / grelhado                                                 | 50 g          | 1 fatia                 |  131 | c
 Pertences para Feijoada Sadia                                                           | 100 g         | 1 xícara                |  296 | c
 Pescada Frita                                                                           | 120 g         | 1 filé                  |  261 | c
 Petit gateau (calda + sorvete de creme)                                                 | 50 g          | 1 unidade               |  510 | c
 Picanha sem gordura cozido / assado / grelhado - bife                                   | 100 g         | 1 fatia                 |  238 | c
 Picolé Frutare Caseiro Kibon Banana                                                     | 71g           | 1 unidade               |  123 | c
 picole la fruta goiaba caseiro                                                          | 25g           | 1 unidade               |  115 | c
 Picolé Magnum creme c/ chocolate                                                        | 65 g          | 1 unidade               |  187 | c
 Pingo de Ouro Elma Chips                                                                | 25 g          | 1/2 xíc chá             |  129 | c
 Pipoca doce de milho clac                                                               | 25 g          | 1 xícara                |   95 | c
 Pipoca Salgada com Manteiga                                                             | 75 g          | 1 pacote                |  337 | c
 Pirulito big big - Arcor                                                                | 15g           | 1 unidade               |   50 | c
 Pit stop recheado -sabor misto quente                                                   | 26g           | 1 pacote                |  127 | c
 Pizza de atum com muzzarela                                                             | 140 g         | 1 fatia                 |  325 | c
 Pizza de bacon, mussarela, tomate e ovos                                                | 140 g         | 1 fatia                 |  357 | c
 Pizza de chocolate                                                                      | 140 g         | 1 fatia                 |  260 | c
 Pizza de Frango com Requeijão                                                           | 150 g         | 1 fatia                 |  432 | c
 Pizza de mussarela                                                                      | 120 g         | 1 fatia                 |  230 | c
 Pizza de mussarela de búfala, tomate seco e rúcula                                      | 120 g         | 1 fatia                 |  219 | c
 Pizza de pão de forma                                                                   | 100 g         | 1 prato de sobremesa    |  289 | c
 Pizza de peito de peru com catupiry                                                     | 120 g         | 1 fatia                 |  271 | c
 Pizza de peperoni                                                                       | 180 g         | 1 fatia                 |  270 | c
 Pizza Palmito com mussarela                                                             | 120 g         | 1 fatia                 |  274 | c
 Pizza Portuguesa                                                                        | 120 g         | 1 fatia                 |  316 | c
 Pizza quatro queijos                                                                    | 150 g         | 1 fatia                 |  432 | c
 Pizza Quatro Queijos                                                                    | 120 g         | 1 fatia                 |  382 | c
 Polenta frita                                                                           | 80g           | 2 fatias                |  150 | c
 Porco a Pururuca                                                                        | 50g           | 1 porção                |  278 | c
 Premium Salad Crispy - Mc Donalds                                                       | 0 g           | 1 porção                |  289 | c
 Premium Salad Grill - Mc Donalds                                                        | 0 g           | 1 porção                |  224 | c
 Premium Salad - Mc Donalds                                                              | 0 g           | 1 porção                |  103 | c
 preparado de sorvete chocolate- Mességué                                                | 40g           | 1 porçao                |  156 | c
 preparado de sorvete morango- Mességué                                                  | 40g           | 1 porçao                |  146 | c
 Presunto Defumado Sadia Speciale                                                        | 20 g          | 2 fatias                |   70 | c
 pudim de pão                                                                            | 100 gramas    | 1 prato                 |  255 | c
 Quarterão - Mc Donalds                                                                  | 0 g           | 1 unidade               |  558 | c
 Quebra queixo                                                                           | 100 g         | 1 unidade               |  291 | c
 Queijo Brie                                                                             | 30 g          | 1 fatia                 |  100 | c
 Queijo Cammembert                                                                       | 45 g          | 1 fatia                 |  135 | c
 Queijo Catupiry                                                                         | 25 g          | 1 colher de sopa        |   66 | c
 Queijo Cheddar                                                                          | 45 g          | 1 fatia                 |  181 | c
 Queijo Emental - Polenghi                                                               | 45 g          | 1 fatia                 |  139 | c
 Queijo Flamengo Barra                                                                   | 25 g          | 2 fatias                |  132 | c
 Queijo Fundido                                                                          | 45 g          | 1 fatia                 |  145 | c
 Queijo Gorgonzola                                                                       | 25 g          | 1 fatia                 |   99 | c
 Queijo Gouda                                                                            | 45 g          | 1 fatia                 |  160 | c
 Queijo Gruyere                                                                          | 30 g          | 1 fatia                 |  113 | c
 Queijo Gruyére                                                                          | 45 g          | 1 fatia                 |  186 | c
 Queijo minas frescal                                                                    | 30 g          | 1 fatia                 |   79 | c
 Queijo Monterey Jack                                                                    | 28 g          | 2 fatias                |  120 | c
 Queijo mozzarella (muçarela, mussarela)                                                 | 20 g          | 1 fatia                 |   60 | c
 Queijo pasteurizado                                                                     | 20 g          | 1 unidade               |   60 | c
 Queijo processado - Polenguinho                                                         | 20 g          | 1 unidade               |   56 | c
 Queijo Provolone                                                                        | 45 g          | 1 fatia                 |  158 | c
 queijo ralado vigor                                                                     | 10 g          | 1 colher de sopa        |   43 | c
 Queijo Roquefort                                                                        | 45 g          | 1 fatia                 |  166 | c
 Queijo suíço                                                                            | 30 g          | 1 fatia                 |  112 | c
 Quiche de Queijo Sadia                                                                  | 113 g         | 1 fatia                 |  357 | c
 Rabada                                                                                  | 100 g         | 1 unidade               |  389 | c
 Rabanada frita                                                                          | 20 g          | 1 unidade               |  223 | c
 Requeijão Cremoso Paulista                                                              | 30 g          | 1 colher de sopa        |   71 | c
 Risoles de palmito  ( tamanho lanchonete )                                              | 70 g          | 1 unidade               |  222 | c
 Risoto de bacalhau                                                                      | 100 gramas    | 2 colheres              |  237 | c
 Risoto de Champignon e Funghi - Maggi                                                   | 150 g         | 1 unidade               |  536 | c
 Risoto Italiano                                                                         | 300 g         | 1 prato                 |  300 | c
 Rocambole de chocolate - Cepan                                                          | 50 g          | 1 fatia                 |  143 | c
 Rolinho de Banana com chocolate - China in box                                          | 100 g         | 1 unidade               |  408 | c
 Rolinho de queijo - China in box                                                        | 100 g         | 1 unidade               |  267 | c
 Rolinho Primavera - China in box                                                        | 100 g         | 1 unidade               |  180 | c
 Rolinho Romeu e Julieta - China in box                                                  | 100 g         | 1 unidade               |  303 | c
 Roll Cake Bauducco                                                                      | 38 g          | 1 unidade               |  153 | c
 Rondeli presunto e queijo                                                               | 80 g          | 1 rondeli               |  210 | c
 Rondelli de ricota e espinafre light - Taeq                                             | 100 g         | 1 xícara                |  133 | c
 rosca amanteigada                                                                       | 40g           | 1 unidade               |  140 | c
 Rosca doce                                                                              | 50g           | 1 fatia                 |  300 | c
 Rum                                                                                     | 50 ml         | 1 cálice                |  110 | c
 Salada Dakota America                                                                   | Unidade       | 1 prato                 |  507 | c
 Salada de frango Bob's                                                                  | 154 g         | 1 unidade               |  356 | c
 Salame                                                                                  | 40 g          | 2 fatias                |  100 | c
 Salcicha Perdigão                                                                       | 30 g          | 1 unidade               |  150 | c
 Salgadinho com pimenta torcida                                                          | 25 g          | 1 xícara                |  129 | c
 Salgadinho Ebicen Sabor Camarão                                                         | 25 g          | 1/2 xícara              |   98 | c
 Salgadinho Fofura - cebola                                                              | 25 g          | 1 porção                |  117 | c
 Salgadinho sensações Elma Chips                                                         | 25 g          | 1,5 xícara              |  136 | c
 Salgadinho Torcida sabor bacon                                                          | 25g           | 1 porção                |  109 | c
 Salgado de presunto e queijo                                                            | 20 g          | 1 unidade               |  120 | c
 Salsicha                                                                                | 50 g          | 1 unidade               |  160 | c
 Salsicha de Frango                                                                      | 50 g          | 1 unidade               |  128 | c
 Salsicha de frango light                                                                | 50 g          | 1 unidade               |   91 | c
 Salsicha de Peru                                                                        | 50 g          | 1 unidade               |  113 | c
 Salsicha em lata (carioca)                                                              | 50g           | 1 unidade               |   88 | c
 Salsicha Hot Dog Sadia                                                                  | 50 g          | 1 unidade               |  146 | c
 Salsichao alemao vitela                                                                 | 120g          | 1 unidade               |  340 | c
 Sanduíche americano                                                                     | 150 g         | 1 unidade               |  290 | c
 Sanduiche BMT - Subway                                                                  | 300 g         | 1 unidade               |  450 | c
 Sanduíche de calabresa                                                                  | 150 g         | 1 unidade               |  379 | c
 Sanduiche de filé de frango com queijo - CASA DO PÃO DE QUEIJO                          | 100 g         | 1 unidade               |  391 | c
 Sanduíche de Pernil                                                                     | 120 g         | 1 unidade               |  240 | c
 Sanduíche italiano ciabatta - CASA DO PÃO DE QUEIJO                                     | 100 g         | 1 unidade               |  409 | c
 Sanduíche misto baguete - CASA DO PÃO DE QUEIJO                                         | 100 g         | 1 unidade               |  367 | c
 Saquê                                                                                   | 30 ml         | 1 cálice                |   41 | c
 Sarapatel                                                                               | 130 g         | 1 concha                |  262 | c
 Sfoglie Nero laranja 70%                                                                | 25 g          | 1 unidade               |  131 | c
 Smirnoff Ice                                                                            | 275 ml        | 1 long neck             |  240 | c
 Sonho com creme                                                                         | 85 g          | 1 unidade               |  573 | c
 Sopa canja de galinha QUALIMAX                                                          | 130 g         | 1 concha                |   71 | c
 Sopa de Batata com Croutons VONO                                                        | 170 ml        | 1 xícara de chá         |   93 | c
 Sopa de beterraba com iogurte - Taeq                                                    | 20 g          | 4 colheres de sopa      |   64 | c
 Sopa de Beterraba com Iogurte TAEQ                                                      | 170 g         | 1 xícara de chá         |   64 | c
 Sopa de Caldinho de Cebola com Crountons VONO                                           | 170 ml        | 1 xícara de chá         |   53 | c
 Sopa de Carne Curry com Macarrão VONO                                                   | 170 ml        | 1 xícara de chá         |   91 | c
 Sopa de carne Good Light - Maggi                                                        | 14 g          | 1 unidade               |   44 | c
 Sopa de Carne, Tomate e Cebola VONO                                                     | 170 ml        | 1 xícara de chá         |   80 | c
 Sopa de galinha com macarrão - Taeq                                                     | 20 g          | 4 colheres de sopa      |   62 | c
 Sopa de galinha Good Light - Maggi                                                      | 14 g          | 1 sachê                 |   43 | c
 Sopa de legumes Good Light - Maggi                                                      | 14 g          | 1 sachê                 |   42 | c
 Sopa de Mandioquinha, Cebola e Salsa VONO                                               | 170 ml        | 1 xícara de chá         |   79 | c
 Sopa de Milho com Croutons VONO                                                         | 170 ml        | 1 xícara de chá         |   81 | c
 Sopa de milho com ervas - Taeq                                                          | 20 g          | 4 unidades              |   71 | c
 Sopa de Peito Frango com Requeijão VONO                                                 | 170 ml        | 1 xícara de chá         |   83 | c
 Sopa frango cebolinha - Quick                                                           | 19 g          | 1 sachê                 |   75 | c
 sopa instantânea taeq -carne                                                            | 13g           | 1 xícara de chá         |   33 | c
 Sopão Carne - Maggi                                                                     | 25 g          | 2 colheres de sopa      |   83 | c
 Sopão Costela - Maggi                                                                   | 25 g          | 1 colher de sopa        |   85 | c
 Sopão Costela Maggi - Maggi                                                             | 25 g          | 1 colher de sopa        |   90 | c
 Sopão de Feijão - Maggi                                                                 | 26 g          | 2 colheres de sopa      |   90 | c
 Sopão Galinha Caipira com Legumes - Maggi                                               | 25 g          | 2 colheres de sopa      |   85 | c
 Sopão Galinha com Azeite - Maggi                                                        | 25 g          | 2 colheres de sopa      |   88 | c
 Sopão Galinha - Maggi                                                                   | 25 g          | 2 colheres de sopa      |   86 | c
 Sorvete Chocolate KIBON                                                                 | 80 g          | 1 unidade               |  172 | c
 Sorvete Cocadinha - Amor aos pedaços                                                    | 60 g          | 1 unidade               |  190 | c
 Sorvete Crocante - Amor aos pedaços                                                     | 60 g          | 1 unidade               |  177 | c
 Sorvete de abacaxi Nestlé                                                               | 60 g          | 1 bola                  |  111 | c
 Sorvete de Baunilha com Calda de Caramelo e Pedaços de Brownie - Haagen Dazs            | 45 g          | 2 colheres de sopa      |  161 | c
 Sorvete de Baunilha com Caramelo e Nozes Pecan Caramelizadas - Haagen Dazs              | 45 g          | 2 colheres de sopa      |  120 | c
 Sorvete de Baunilha - Haagen Dazs                                                       | 45 g          | 2 colheres de sopa      |  149 | c
 Sorvete de Brigadeiro - Amor aos pedaços                                                | 60 g          | 1 unidade               |  190 | c
 Sorvete de Cheesecake de Morango com Biscoito de Nozes Pecan em Pedaços - Haagen Dazs   | 45 g          | 2 colheres de sopa      |  120 | c
 Sorvete de chocolate italiano Diletto                                                   | 50 g          | 1 unidade               |   91 | c
 Sorvete de Chocolate Preto Belga com Pedaços de Chocolate - Haagen Dazs                 | 45 g          | 2 colheres de sopa      |  140 | c
 Sorvete de Creme com Pedaços de Cookies de Chocolate - Haagen Dazs                      | 45 g          | 2 colheres de sopa      |  128 | c
 Sorvete de Doce de Leite - Haagen Dazs                                                  | 45 g          | 2 colheres de sopa      |  120 | c
 Sorvete de limao cremoso Quality                                                        | 40 g          | 1 bola                  |   62 | c
 sorvete de macadâmia La Basque                                                          | 60 g          | 1 bola                  |  160 | c
 Sorvete de massa Brigadeiro KIBON                                                       | 60 g          | 1 bola                  |  126 | c
 Sorvete de massa  Creme KIBON                                                           | 80 g          | 1 bola                  |  160 | c
 Sorvete de massa Napolitano KIBON                                                       | 60 g          | 1 bola                  |  102 | c
 Sorvete de morango e nata - Resfreskata                                                 | 75 g          | 1 bola                  |  105 | c
 Sorvete de Morango - Haagen Dazs                                                        | 45 g          | 2 colheres de sopa      |  110 | c
 Sorvete de Napolitano Molico NESTLÉ                                                     | 60 g          | 1 bola                  |   60 | c
 Sorvete de pistache                                                                     | 60g           | 1 bola                  |  146 | c
 Sorvete de Tiramisu - Haagen Dazs                                                       | 45 g          | 2 colheres de sopa      |  130 | c
 Sorvete Floresta Negra - Amor aos pedaços                                               | 60 g          | 1 unidade               |  170 | c
 Sorvete Gelícia                                                                         | 120g          | 1 taça                  |  141 | c
 Sorvete Heaven Chocolate Suíço - Nestlé                                                 | 60 g          | 1 bola                  |  157 | c
 Sorvete Heaven Creme com Frutas Vermelhas - Nestlé                                      | 60 g          | 1 bola                  |  128 | c
 Sorvete Heaven Creme com Morangos e Doce de Leite - Nestlé                              | 60 g          | 1 bola                  |  124 | c
 Sorvete Heaven Unik - Nestlé                                                            | 90 g          | 1 unidade               |  257 | c
 Sorvete iogurte com limão Diletto                                                       | 50 g          | 1 unidade               |   63 | c
 sorvete mini eski-bon - KIBON                                                           | 60 g          | 9 bombons               |  226 | c
 Sorvete Napolitano light Sorvelândia                                                    | 60 g          | 1 bola                  |   70 | c
 Sorvete Pão de Mel - Amor aos pedaços                                                   | 60 g          | 1 unidade               |  149 | c
 Sorvete Pavê de Nozes - Amor aos pedaços                                                | 60 g          | 1 unidade               |  151 | c
 Sorvete pote Kibon flocos                                                               | 60 g          | 1 bola                  |  117 | c
 Sorvete sabor Baunilha com Macadâmia Crocante - Haagen Dazs                             | 45 g          | 2 colheres de sopa      |  130 | c
 Sorvete Sonho de Coco - Amor aos pedaços                                                | 60 g          | 1 unidade               |  166 | c
 Sorvete Suflê de Chocolate - Amor aos pedaços                                           | 60 g          | 1 unidade               |  173 | c
 Sorvete torta alemã - Refreskata                                                        | 75 g          | 1 bola                  |   96 | c
 Sorvete Trufão - Amor aos pedaços                                                       | 60 g          | 1 unidade               |  149 | c
 Sorvete Zecas Fantasia                                                                  | 105 g         | 1 potinho               |   78 | c
 Steak de Frango - Sadia                                                                 | 120 g         | 1 unidade               |  325 | c
 Steakhouse Burger - Burger King                                                         | 320g          | 1 sanduíche             |  936 | c
 Stiksy Elma Chips                                                                       | 4 g           | 1 palito                |   15 | c
 Strogonoff de frango light                                                              | 25 g          | 1 colher de sopa        |  152 | c
 Submarino grande - Casa do pão de queijo                                                | 150 ml        | 1 unidade               |  324 | c
 Suflê de Queijo                                                                         | 55 g          | 1 colher de sopa        |   98 | c
 Sundae Caramelo - Mc Donalds                                                            | 0 g           | 1 unidade               |  306 | c
 Sundae Chocolate - Mc Donalds                                                           | 0 g           | 1 porção                |  299 | c
 Sundae Morango - Mc Donalds                                                             | 0 g           | 1 unidade               |  286 | c
 Tekitos sabor queijo e orégano                                                          | 130 g         | 7,5 unidades            |  347 | c
 Tempero a base de sal                                                                   | 6 g           | 1 colher de chá         |    1 | c
 Tempurá de legumes                                                                      | 100g          | 1 prato                 |  119 | c
 Tender Fiesta Sadia                                                                     | 100 g         | 2 fatias                |  105 | c
 Tender Grill Burguer King                                                               | 260 g         | 1 unidade               |  404 | c
 Tender Semi Desossado Sadia                                                             | 100 g         | 2 fatias                |  235 | c
 Tilápia frita                                                                           | 100 g         | 1 filé                  |  282 | c
 Toblerone                                                                               | 25 g          | 1 triângulo             |  132 | c
 Top Sundae Caramelo - Mc Donalds                                                        | 0 g           | 1 unidade               |  489 | c
 Top Sundae Chocolate - Mc Donalds                                                       | 0 g           | 1 unidade               |  482 | c
 Top Sundae Morango - Mc Donalds                                                         | 0 g           | 1 unidade               |  469 | c
 Torresmo                                                                                | 100 g         | 1 porção                |  457 | c
 Torrone                                                                                 | 25 g          | 1 barra                 |  102 | c
 Torta alemã                                                                             | 100 g         | 1 fatia                 |  350 | c
 torta brigadeiro                                                                        | 100g          | 1 fatia                 |  278 | c
 Torta Cheesecake com Calda de Frutas - Amor aos pedaços                                 | 60 g          | 1 unidade               |  150 | c
 Torta de banana assada                                                                  | 100 g         | 1 fatia                 |  464 | c
 Torta de banana - Mc Donald´s                                                           | 79 g          | 1 unidade               |  228 | c
 Torta de frango                                                                         | 80 g          | 1 fatia                 |   20 | c
 Torta de Iogurte de Frango Sadia                                                        | 125 g         | 1 fatia                 |  310 | c
 Torta de Iogurte de Palmito com Catupiry® Sadia                                         | 125 g         | 1 fatia                 |  317 | c
 Torta de limão                                                                          | 85 g          | 1 fatia                 |  289 | c
 Torta de Maçã Mc Donalds                                                                | 80 g          | 1 unidade               |  237 | c
 Torta de morango                                                                        | 100 g         | 1 fatia                 |  211 | c
 Torta de Palmito Sadia                                                                  | 125 g         | 1 fatia                 |  392 | c
 Torta de sardinha                                                                       | 80 g          | 1 unidade               |  249 | c
 Torta fria frango e maionese                                                            | 125 g         | 1 fatia                 |  298 | c
 Torta holandesa                                                                         | 50g           | 1 fatia                 |  418 | c
 Torta Mousse de Chocolate - Amor aos pedaços                                            | 60 g          | 1 unidade               |  186 | c
 Torta Mousse de Limão - Amor aos pedaços                                                | 60 g          | 1 unidade               |  190 | c
